Glottocode,split.Pro.1.incl.excl,split.Pro.3.human,split.Pro.3.animate,split.DEM.human,split.DEM.animate,split.N.kin,split.N.human,split.N.animate
telu1262,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
temb1276,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
teri1250,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
than1259,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
till1254,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
trio1238,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
trum1247,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
tuuu1240,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
udmu1245,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
urar1246,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
urub1250,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
wadj1254,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
waga1260,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
waim1253,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
wamb1259,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
wapp1239,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
wara1303,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
wash1253,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
waur1244,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
waya1270,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
wayu1243,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
west2632,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
wola1242,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
